Allele;Frequency
HLA-A30:09;0,00001569
HLA-A30:10;0,00019358
HLA-A30:103;0,00000071
HLA-A30:11;0,00000246
HLA-A30:12;0,00001804
HLA-A30:14;0,00000002
HLA-A30:15;0,00015678
HLA-A30:16;0,00000040
HLA-A30:17;0,00000023
HLA-A30:18;0,00001115
HLA-A30:19;0,00001095
HLA-A30:20;0,00000004
HLA-A30:22;0,00000001
HLA-A30:25;0,00000146
HLA-A30:26;0,00008287
HLA-A30:28;0,00000010
HLA-A30:29;0,00000059
HLA-A30:30;0,00000001
HLA-A30:31;0,00000002
HLA-A30:32;0,00000002
HLA-A30:35;0,00000002
HLA-A30:36;0,00000006
HLA-A30:40;0,00000012
HLA-A30:44;0,00000001
HLA-A30:47;0,00000008
HLA-A30:53;0,00000002
HLA-A30:76;0,00000034
HLA-A31:01;0,02617824
HLA-A31:02;0,00004926
HLA-A31:03;0,00001275
HLA-A31:04;0,00010670
HLA-A31:05;0,00000130
HLA-A31:06;0,00001934
HLA-A31:07;0,00000011
HLA-A31:08;0,00709301
HLA-A31:09;0,00001094
HLA-A31:10;0,00000061
HLA-A31:11;0,00000526
HLA-A31:119;0,00001214
HLA-A31:12;0,00002464
HLA-A31:13;0,00000075
HLA-A31:15;0,00001166
HLA-A31:16;0,00000423
HLA-A31:17;0,00000207
HLA-A31:18;0,00000069
HLA-A31:20;0,00000005
HLA-A31:24;0,00000020
HLA-A31:26;0,00000190
HLA-A31:27;0,00000171
HLA-A31:28;0,00000002
HLA-A31:29;0,00000145
HLA-A31:30;0,00000109
HLA-A31:32;0,00000057
HLA-A31:36;0,00000002
HLA-A31:38;0,00000002
HLA-A31:39;0,00000002
HLA-A31:40;0,00000009
HLA-A31:41;0,00000207
HLA-A31:42;0,00000008
HLA-A32:01;0,02726679
HLA-A32:02;0,00001790
HLA-A32:03;0,00001217
HLA-A32:04;0,00001931
HLA-A32:05;0,00000130
HLA-A32:06;0,00000493
HLA-A32:07;0,00000085
HLA-A32:08;0,00000486
HLA-A32:09;0,00000003
HLA-A32:106;0,00000405
HLA-A32:11;0,00000002
HLA-A32:13;0,00000304
HLA-A32:15;0,00000001
HLA-A32:16;0,00000036
HLA-A32:17;0,00000062
HLA-A32:18;0,00000877
HLA-A32:19;0,00000011
HLA-A32:20;0,00000137
HLA-A32:21;0,00000214
HLA-A32:22;0,00000128
HLA-A32:25;0,00000005
HLA-A32:26;0,00000002
HLA-A32:27;0,00000014
HLA-A32:28;0,00000004
HLA-A32:35;0,00000843
HLA-A32:37;0,00000002
HLA-A32:38;0,00000014
HLA-A32:41;0,00000843
HLA-A32:49;0,00000014
HLA-A32:52;0,00000002
HLA-A32:58;0,00000002
HLA-A32:62;0,00000002
HLA-A32:67;0,00000105
HLA-A32:92;0,00000002
HLA-A33:01;0,01527588
HLA-A33:03;0,03162004
HLA-A33:04;0,00000124
HLA-A33:05;0,00005382
HLA-A33:06;0,00000016
HLA-A33:07;0,00000002
HLA-A33:08;0,00000040
HLA-A33:09;0,00000012
HLA-A33:10;0,00000350
HLA-A33:11;0,00000004
HLA-A33:12;0,00000278
HLA-A33:13;0,00000010
HLA-A33:16;0,00022126
HLA-A33:17;0,00005374
HLA-A33:19;0,00000006
HLA-A33:21;0,00000002
